date,year,iso_week,week_of_year,ccfi,source_image,source_row,ocr_text,status,review_note
2025-06-27,2025,2025-W26,26,1369.34,微信图片_20260524162053_1113_1.jpg,7,"20250627 1,369.34",reviewed,
2025-07-04,2025,2025-W27,27,1342.99,微信图片_20260524162053_1113_1.jpg,6,"20250704 1,342.99",reviewed,
2025-07-11,2025,2025-W28,28,1313.70,微信图片_20260524162053_1113_1.jpg,5,"20250711 1,313.70",reviewed,
2025-07-18,2025,2025-W29,29,1303.54,微信图片_20260524162053_1113_1.jpg,4,"20250718 1,303.54",reviewed,
2025-07-25,2025,2025-W30,30,1261.35,微信图片_20260524162053_1113_1.jpg,3,"20250725 1,261.35",reviewed,
2025-08-01,2025,2025-W31,31,1232.29,微信图片_20260524162053_1113_1.jpg,2,"20250801 1,232.29",reviewed,
2025-08-08,2025,2025-W32,32,1200.73,微信图片_20260524162053_1113_1.jpg,1,"20250808 1,200.73",reviewed,
2025-08-15,2025,2025-W33,33,1193.34,微信图片_20260524162054_1114_1.jpg,13,"20250815 1,193.34",reviewed,
2025-08-22,2025,2025-W34,34,1174.87,微信图片_20260524162054_1114_1.jpg,12,"20250822 1,174.87",reviewed,
2025-08-29,2025,2025-W35,35,1156.32,微信图片_20260524162054_1114_1.jpg,11,"20250829 1,156.32",reviewed,
2025-09-05,2025,2025-W36,36,1149.14,微信图片_20260524162054_1114_1.jpg,10,"20250905 1,149.14",reviewed,
2025-09-12,2025,2025-W37,37,1125.30,微信图片_20260524162054_1114_1.jpg,9,"20250912 1,125.30",reviewed,
2025-09-19,2025,2025-W38,38,1120.23,微信图片_20260524162054_1114_1.jpg,8,"20250919 1,120.23",reviewed,
2025-09-26,2025,2025-W39,39,1087.41,微信图片_20260524162054_1114_1.jpg,7,"20250926 1,087.41",reviewed,
2025-10-10,2025,2025-W41,41,1014.78,微信图片_20260524162054_1114_1.jpg,6,"20251010 1,014.78",reviewed,
2025-10-17,2025,2025-W42,42,973.11,微信图片_20260524162054_1114_1.jpg,5,"20251017 973.11",reviewed,
2025-10-24,2025,2025-W43,43,992.74,微信图片_20260524162054_1114_1.jpg,4,"20251024 992.74",reviewed,
2025-10-31,2025,2025-W44,44,1021.39,微信图片_20260524162054_1114_1.jpg,3,"20251031 1,021.39",reviewed,
2025-11-07,2025,2025-W45,45,1058.17,微信图片_20260524162054_1114_1.jpg,2,"20251107 1,058.17",reviewed,
2025-11-14,2025,2025-W46,46,1094.03,微信图片_20260524162054_1114_1.jpg,1,"20251114 1,094.03",reviewed,
2025-11-21,2025,2025-W47,47,1122.79,微信图片_20260524162055_1115_1.jpg,13,"20251121 1,122.79",reviewed,
2025-11-28,2025,2025-W48,48,1121.80,微信图片_20260524162055_1115_1.jpg,12,"20251128 1,121.80",reviewed,
2025-12-05,2025,2025-W49,49,1114.89,微信图片_20260524162055_1115_1.jpg,11,"20251205 1,114.89",reviewed,
2025-12-12,2025,2025-W50,50,1118.07,微信图片_20260524162055_1115_1.jpg,10,"20251212 1,118.07",reviewed,
2025-12-19,2025,2025-W51,51,1124.73,微信图片_20260524162055_1115_1.jpg,9,"20251219 1,124.73",reviewed,
2025-12-26,2025,2025-W52,52,1146.67,微信图片_20260524162055_1115_1.jpg,8,"20251226 1,146.67",reviewed,
2026-01-09,2026,2026-W02,2,1194.89,微信图片_20260524162055_1115_1.jpg,7,"20260109 1,194.89",reviewed,
2026-01-16,2026,2026-W03,3,1209.85,微信图片_20260524162055_1115_1.jpg,6,"20260116 1,209.85",reviewed,
2026-01-23,2026,2026-W04,4,1208.75,微信图片_20260524162055_1115_1.jpg,5,"20260123 1,208.75",reviewed,
2026-01-30,2026,2026-W05,5,1175.59,微信图片_20260524162055_1115_1.jpg,4,"20260130 1,175.59",reviewed,
2026-02-06,2026,2026-W06,6,1122.15,微信图片_20260524162055_1115_1.jpg,3,"20260206 1,122.15",reviewed,
2026-02-13,2026,2026-W07,7,1088.14,微信图片_20260524162055_1115_1.jpg,2,"20260213 1,088.14",reviewed,
2026-02-27,2026,2026-W09,9,1044.57,微信图片_20260524162055_1115_1.jpg,1,"20260227 1,044.57",reviewed,
2026-03-06,2026,2026-W10,10,1054.26,微信图片_20260524162055_1116_1.jpg,12,"20260306 1,054.26",reviewed,
2026-03-13,2026,2026-W11,11,1072.16,微信图片_20260524162055_1116_1.jpg,11,"20260313 1,072.16",reviewed,
